practitioner_id,name,profession,division,registration_type,speciality,location,postcode_searched
MED0001209813,Dr Jennifer Claire  Jamieson,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001209813,Dr Jennifer Claire  Jamieson,Medical Practitioner,,Specialist  Emergency medicine,Emergency medicine,"Hobart, TAS, 7000",7000
MED0002651532,Dr Gesine  Peters,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002308666,Dr Antonia Charlotte Rowson,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002664272,Dr Hui Ying  Ng,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002118561,Dr Karlla Sabryna De Sousa Santos,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001371837,Dr Annette Maria Leitch,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001219966,Dr Emily Rose Ware,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001219966,Dr Emily Rose Ware,Medical Practitioner,,Specialist  General practice,General practice,"Hobart, TAS, 7000",7000
MED0002439222,Dr Claire Patricia Mackintosh,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002664307,Dr Lucinda Mary Southcott,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001666053,Dr Katherine  Witheridge,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001666053,Dr Katherine  Witheridge,Medical Practitioner,,Specialist  General practice,General practice,"Hobart, TAS, 7000",7000
MED0002147950,Dr Olivia Catherine Chung,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0000936092,Dr Kristin Delia Bell,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0000936092,Dr Kristin Delia Bell,Medical Practitioner,,Specialist  Ophthalmology,Ophthalmology,"Hobart, TAS, 7000",7000
MED0002000283,Dr Kathryn  Noakes,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002000283,Dr Kathryn  Noakes,Medical Practitioner,,Specialist  Anaesthesia,Anaesthesia,"Hobart, TAS, 7000",7000
MED0001679283,Dr Sanda  Smith,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001679283,Dr Sanda  Smith,Medical Practitioner,,"Specialist  Paediatrics and child health, Community child health","Paediatrics and child health, Community child health","Hobart, TAS, 7000",7000
